fileName		P	I	D		topUp		topDown		bottomUp	bottomDown		c1		c2		c3		c4		c5		c6
rollpitchyaw_201515a_.15f	20.0	0.0e-7	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
rollpitchyaw_101520a_.10f	20.0	0.0e-7	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
rollpitchyaw_151216a_.3.35.28f	20.0	0.0e-7	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
rollpitchyaw_201530a_.10f	20.0	0.0e-7	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
rollpitchyaw_201520a_.15f	20.0	0.0e-7	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
rollpitchyaw_152025a_.2f	20.0	0.0e-7	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
rollpitch_201530a_20f	20.0	0.0e-7	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
offAxisPitch_10a_.10f	20.0	0.0e-7	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
pitchroll_15a_15f	20.0	0.0e-7	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
pitchroll_15a_20f	20.0	0.0e-7	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
pitchroll_2010a_15f	20.0	0.0e-7	0.0		1.0		0.75		1.0		0.25		1.487277324	1.472214524	1.198744158	0.5435181266	0.9361242951	0.674331626
cylinder1		10.0	0.0	0.0		1.0		0.75		1.0		0.25		1.487277324	2.000000000	2.000000000	0.5435181266	0.9361242951	0.674331626
cylinder2		10.0	0.0	0.0		1.0		0.75		1.0		0.25		1.487277324	2.000000000	2.000000000	0.5435181266	0.9361242951	0.674331626
cylinder3		10.0	0.0	0.0		1.0		0.75		1.0		0.25		1.487277324	2.000000000	2.000000000	0.5435181266	0.9361242951	0.674331626
cylinder4		10.0	0.0	0.0		1.0		0.75		1.0		0.25		1.487277324	2.000000000	2.000000000	0.5435181266	0.9361242951	0.674331626
cylinder5		10.0	0.0	0.0		1.0		0.75		1.0		0.25		1.487277324	2.000000000	2.000000000	0.5435181266	0.9361242951	0.674331626
cylinder6		10.0	0.0	0.0		1.0		0.75		1.0		0.25		1.487277324	2.000000000	2.000000000	0.5435181266	0.9361242951	0.674331626

